window_days,pct_positive,median_ret_pct,worst_ret_pct,cost_bps
5,59.092627599243855,0.5152247568610187,-21.763792236866298,0
10,62.23167848699763,1.0830112545119115,-33.58269371919965,0
21,66.47103369935631,2.53811737608996,-40.23071055003559,0
42,69.86626197477,5.070805731478158,-35.477032511926645,0
63,71.92548945067477,7.921359262148172,-34.45156914857136,0
126,75.65732861650253,18.9892284435835,-42.75536160209473,0
252,78.95093390109358,41.421022362449456,-51.651712777402025,0
504,88.16585656184903,96.30990597536518,-50.21788702343846,0
756,90.20246210194323,185.14303110021345,-42.41128994439097,0
5,53.51606805293005,0.3143751382910248,-21.920123902299053,2
10,56.94562647754137,0.6794465192854413,-33.84785877800641,2
21,60.781900795153355,1.6803192041280681,-40.73071960561045,2
42,62.5154130702836,3.3201874991469107,-36.55207026863153,2
63,63.875689032503324,5.235456929607367,-36.082911493793176,2
126,66.5264365618128,13.140219621547905,-45.56926668731293,2
252,69.84418852221039,27.859414240252107,-56.288085176208966,2
504,76.01428429719273,60.46476740897646,-59.30783451695124,2
756,78.39047715942618,110.72641354185922,-57.44078933405359,2
5,50.16068052930057,0.013777922945394446,-22.15409429086145,5
10,50.73286052009456,0.07696821123270643,-34.243721404345486,5
21,52.63157894736842,0.40674181335991977,-41.47308564132135,5
42,52.61310822346581,0.7481622223056065,-38.131526161834145,5
63,53.40239498194259,1.3304594513577979,-38.454698310861424,5
126,55.684099818338275,4.8993649192388045,-49.53386712799089,5
252,59.36320526468596,9.911818511698351,-62.42391631887505,5
504,61.79942466025196,18.577709431821543,-69.92994878120112,5
756,67.10753891545427,33.86098751440022,-72.96486058950887,5
5,42.863894139886575,-0.48541634633759445,-22.542643057083296,10
10,41.14420803782506,-0.9195579448888457,-34.89849595158676,10
21,39.587277546383945,-1.6813639818317083,-42.690238860715866,10
42,37.74068102058238,-3.39867715512416,-40.67806019158136,10
63,37.79699676867516,-4.860925339046598,-42.21517316572875,10
126,37.67090544029066,-7.527908297435467,-55.51251553899197,10
252,34.520468402206525,-14.587774414503826,-70.79971035462269,10
504,27.259200476143242,-28.39318670379215,-81.84127055793753,10
756,20.653169193203784,-37.18245499544499,-87.31309907272086,10
