strategy,cost_bps,n_days,mean_bps,t_stat,sharpe,cagr_pct,total_x,max_dd_pct,win_rate_pct
overnight,0,10584,15.569951074953321,9.14951009842202,1.411800058698507,42.407983387290436,2808291.165907244,-53.686059081588475,55.035903250188966
overnight,2,10584,11.5641237173216,6.798248841521166,1.0489925701226264,28.751730364164164,40703.25378686508,-69.1990341823524,46.116780045351476
overnight,5,10584,5.556885016367594,3.2687101109770107,0.5043729201787139,10.678880432396465,70.91201250182638,-89.31185269054663,44.690098261526835
overnight,10,10584,-4.451173257245234,-2.62092211601376,-0.4044170624906577,-13.991692330740024,0.0017811352608538614,-99.96117213735108,41.959561602418745
intraday,0,10584,-2.352839524761934,-0.7250295214710891,-0.1118744839844015,-18.102190960629972,0.0002277382123796955,-99.99668511615907,46.116780045351476
intraday,2,10584,-6.3514984830653844,-1.9580028385403656,-0.30212639722206336,-25.955804049438957,3.3008280508773518e-06,-99.99991780112202,45.91836734693878
intraday,5,10584,-12.347987273445598,-3.808850788146599,-0.5877184361167743,-36.34937031800815,5.750605620765549e-09,-99.99999982172093,45.28533635676493
intraday,10,10584,-22.338136198551663,-6.897303575737927,-1.0642770474418772,-50.53723962834316,1.4444106267814789e-13,-99.99999999999355,44.20823885109599
cc,0,10584,13.376364969099962,3.6077719437172733,0.556691296814823,16.62901829134098,639.555209965421,-98.24983850776823,48.46938775510204
