date,net_pnl
2010-01-04,1.0
2010-01-05,1.0
2010-01-06,1.0
2010-01-07,1.0
2010-01-08,1.0
2010-01-11,1.0
2010-01-12,1.0
2010-01-13,1.0
2010-01-14,1.0
2010-01-15,1.0
2010-01-19,1.0
2010-01-20,1.0
2010-01-21,1.0
2010-01-22,1.0
2010-01-25,1.0
2010-01-26,1.0
2010-01-27,1.0
2010-01-28,1.0
2010-01-29,1.0
2010-02-01,1.0
2010-02-02,1.0
2010-02-03,1.0
2010-02-04,1.0
2010-02-05,1.0
2010-02-08,1.0
2010-02-09,1.0
2010-02-10,1.0
2010-02-11,1.0
2010-02-12,1.0
2010-02-16,1.0
2010-02-17,1.0
2010-02-18,1.0
2010-02-19,1.0
2010-02-22,1.0
2010-02-23,1.0
2010-02-24,1.0
2010-02-25,1.0
2010-02-26,1.0
2010-03-01,1.0
2010-03-02,1.0
2010-03-03,1.0
2010-03-04,1.0
2010-03-05,1.0
2010-03-08,1.0
2010-03-09,1.0
2010-03-10,1.0
2010-03-11,1.0
2010-03-12,1.0
2010-03-15,1.0
2010-03-16,1.0
2010-03-17,1.0
2010-03-18,1.0
2010-03-19,1.0
2010-03-22,1.0
2010-03-23,1.0
2010-03-24,1.0
2010-03-25,1.0
2010-03-26,1.0
2010-03-29,1.0
2010-03-30,1.0
2010-03-31,1.0
2010-04-01,1.0
2010-04-05,1.0
2010-04-06,1.0
2010-04-07,1.0
2010-04-08,1.0
2010-04-09,1.0
2010-04-12,1.0
2010-04-13,1.0
2010-04-14,1.0
2010-04-15,1.0
2010-04-16,1.0
2010-04-19,1.0
2010-04-20,1.0
2010-04-21,1.0
2010-04-22,1.0
2010-04-23,1.0
2010-04-26,1.0
2010-04-27,1.0
2010-04-28,1.0
2010-04-29,1.0
2010-04-30,1.0
2010-05-03,1.0
2010-05-04,1.0
2010-05-05,1.0
2010-05-06,1.0
2010-05-07,1.0
2010-05-10,1.0
2010-05-11,1.0
2010-05-12,1.0
2010-05-13,1.0
2010-05-14,1.0
2010-05-17,1.0
2010-05-18,1.0
2010-05-19,1.0
2010-05-20,1.0
2010-05-21,1.0
2010-05-24,1.0
2010-05-25,1.0
2010-05-26,1.0
2010-05-27,1.0
2010-05-28,1.0
2010-06-01,1.0
2010-06-02,1.0
2010-06-03,1.0
2010-06-04,1.0
2010-06-07,1.0
2010-06-08,1.0
2010-06-09,1.0
2010-06-10,1.0
2010-06-11,1.0
2010-06-14,1.0
2010-06-15,1.0
2010-06-16,1.0
2010-06-17,1.0
2010-06-18,1.0
2010-06-21,1.0
2010-06-22,1.0
2010-06-23,1.0
2010-06-24,1.0
2010-06-25,1.0
2010-06-28,1.0
2010-06-29,1.0
2010-06-30,1.0
2010-07-01,1.0
2010-07-02,1.0
2010-07-06,1.0
2010-07-07,1.0
2010-07-08,1.0
2010-07-09,1.0
2010-07-12,1.0
2010-07-13,1.0
2010-07-14,1.0
2010-07-15,1.0
2010-07-16,1.0
2010-07-19,1.0
2010-07-20,1.0
2010-07-21,1.0
2010-07-22,1.0
2010-07-23,1.0
2010-07-26,1.0
2010-07-27,1.0
2010-07-28,1.0
2010-07-29,1.0
2010-07-30,1.0
2010-08-02,1.0
2010-08-03,1.0
2010-08-04,1.0
2010-08-05,1.0
2010-08-06,1.0
2010-08-09,1.0
2010-08-10,1.0
2010-08-11,1.0
2010-08-12,1.0
2010-08-13,1.0
2010-08-16,1.0
2010-08-17,1.0
2010-08-18,1.0
2010-08-19,1.0
2010-08-20,1.0
2010-08-23,1.0
2010-08-24,1.0
2010-08-25,1.0
2010-08-26,1.0
2010-08-27,1.0
2010-08-30,1.0
2010-08-31,1.0
2010-09-01,1.0
2010-09-02,1.0
2010-09-03,1.0
2010-09-07,1.0
2010-09-08,1.0
2010-09-09,1.0
2010-09-10,1.0
2010-09-13,1.0
2010-09-14,1.0
2010-09-15,1.0
2010-09-16,1.0
2010-09-17,1.0
2010-09-20,1.0
2010-09-21,1.0
2010-09-22,1.0
2010-09-23,1.0
2010-09-24,1.0
2010-09-27,1.0
2010-09-28,1.0
2010-09-29,1.0
2010-09-30,1.0
2010-10-01,1.0
2010-10-04,1.0
2010-10-05,1.0
2010-10-06,1.0
2010-10-07,1.0
2010-10-08,1.0
2010-10-11,1.0
2010-10-12,1.0
2010-10-13,1.0
2010-10-14,1.0
2010-10-15,1.0
2010-10-18,0.9918122345454403
2010-10-19,0.9933093357229286
2010-10-20,0.995383082059682
2010-10-21,0.9956121654386414
2010-10-22,0.9973162297661237
2010-10-25,0.9951053110355293
2010-10-26,0.9942580009496391
2010-10-27,0.997701406636115
2010-10-28,0.9973669303481573
2010-10-29,0.9972538984747916
2010-11-01,1.0007949554521127
2010-11-02,1.002408257645737
2010-11-03,1.0073419440138733
2010-11-04,1.0076569909191764
2010-11-05,1.005270751818923
2010-11-08,1.0092317941421165
2010-11-09,1.009985613419813
2010-11-10,1.0041152290751614
2010-11-11,1.0015940798956326
2010-11-12,1.0041382685805487
2010-11-15,0.9996505519688671
2010-11-16,0.9998464356630937
2010-11-17,1.0047465765413957
2010-11-18,1.0032351153396244
2010-11-19,1.0010441991896828
2010-11-22,0.9952931580838922
2010-11-23,1.0006880706803776
2010-11-24,0.9976302346127204
2010-11-26,0.9965137733152906
2010-11-29,0.9906870333552604
2010-11-30,0.9998296936028426
2010-12-01,1.0022229193343888
2010-12-02,0.9990275216145341
2010-12-03,1.0005486556301633
2010-12-06,1.008169621695581
2010-12-07,1.0090670653801894
2010-12-08,1.010123281858671
2010-12-09,1.011849772410152
2010-12-10,1.0149811094533965
2010-12-13,1.0182555530450428
2010-12-14,1.0178006252155425
2010-12-15,1.019567002749576
2010-12-16,1.0208841879341148
2010-12-17,1.0203279615909608
2010-12-20,1.022844258781324
2010-12-21,1.0227216705965088
2010-12-22,1.0204924128471757
2010-12-23,1.0187409305207953
2010-12-27,1.0185495624724006
2010-12-28,1.019271948328868
2010-12-29,1.0188021156737102
2010-12-30,1.017933768178741
2010-12-31,1.0247057443408882
2011-01-03,1.0270741321674715
2011-01-04,1.0243695659263614
2011-01-05,1.0304210377620913
2011-01-06,1.0304907728927954
2011-01-07,1.0324386833609178
2011-01-10,1.032794218935049
2011-01-11,1.0371889773261003
2011-01-12,1.042909706918892
2011-01-13,1.0445830769402076
2011-01-14,1.0331085872336139
2011-01-18,1.037431223019154
2011-01-19,1.0349595490656223
2011-01-20,1.045116422831258
2011-01-21,1.0464103862898297
2011-01-24,1.0426960757210246
2011-01-25,1.0450135038383601
2011-01-26,1.0507237024744944
2011-01-27,1.0546916497983483
2011-01-28,1.0563525846261275
2011-01-31,1.062069970114006
2011-02-01,1.0600155948502936
2011-02-02,1.0605052406154178
2011-02-03,1.0620515601967777
2011-02-04,1.0643278432947156
2011-02-07,1.065058205198452
