episode,days,overnight_pct,intraday_pct,buyhold_pct,worst_single_overnight_pct
Dotcom 00-02,648,-9.6,-36.5,-42.6,-8.2
GFC 07-09,356,-18.4,-44.5,-54.8,-8.3
2011 correction,108,-9.2,-10.4,-18.6,-2.9
2015-16 selloff,144,-9.2,-4.2,-13.0,-5.2
2018Q4,59,2.9,-21.2,-18.9,-1.6
COVID 2020,24,-28.1,-7.3,-33.4,-10.4
2022 bear,196,-17.2,-8.3,-24.1,-2.6
