Date,overnight_pct,intraday_pct,buyhold_pct
1984,120.03093746747643,-12.321252010100183,92.92037116192284
1985,-8.364255000869464,-65.96016124778974,-68.80734016290941
1986,-6.263192589295367,-43.52146796216023,-47.058827195297084
1987,17.894733822932647,178.02578478202196,227.77775892788438
1988,3.782092250259124,2.888354735934856,6.77968722682175
1989,-5.969172840354609,-34.165472675852534,-38.09524940046124
1990,-30.835429248753655,50.143535328482045,3.8461317206907433
1991,29.287173814774683,8.33316296851752,40.060884706150645
1992,11.067510088143182,20.63657641699283,33.988041681934135
1993,89.58235566963701,30.091696898952147,146.63090351163734
1994,102.57002197681537,17.72175854968524,138.46899216559035
1995,84.85504271524,-2.3366738093657498,80.53558334682126
1996,72.61210939773632,-57.35925438452003,-26.396909530197288
1997,7.088745963364813,-16.839250188550725,-10.94419589318777
1998,76.37195314278283,10.527642630620022,94.9397620703
1999,165.0821895198054,-41.711758033712684,54.511748036836686
2000,134.17966832883658,-61.19219451128408,-9.120009820824931
2001,35.15594533139594,-35.39022739692275,-12.676051061845603
2002,-6.621411734459148,-66.3527229065338,-68.58064766032655
2003,66.08340227986008,-16.731178452958474,38.29569186367194
2004,52.52230861452344,-39.887323327729504,-8.314757769468867
2005,62.19775633189273,-33.55440214896134,7.773268895697304
2006,39.955078570954036,-25.059128788130845,4.883555186329022
2007,34.99134990525378,-61.52784329186489,-48.06591632202375
2008,8.681120271707332,-66.49482330853667,-63.58619862270274
2009,64.70426536449317,142.85952711351726,300.0000000000001
2010,73.15331014963895,-56.138889439450566,-24.05303519601569
2011,48.18914746991785,-47.075120513042776,-21.57107228879677
2012,54.00515709894977,-34.55094109112547,0.7949259923963595
2013,84.15514240843412,86.28850319233796,243.0598583443902
2014,88.5225952279852,-14.617383415890895,60.965524657922465
2015,-14.202257844156584,-52.85938520622347,-59.554416868556146
2016,83.42074298708735,-15.602633432580593,54.80227681949663
2017,90.84246643620611,-1.7036303148328356,87.59121632442407
2018,1.753104069007496,-24.165060598359585,-22.835595189979998
2019,38.607517004602535,22.282384414443587,69.49257677088336
2020,36.135211656100054,2.6859743462443415,39.79176851738869
2021,55.95096218880966,-20.354359620762068,24.20814251286062
2022,-49.04893684908863,6.121913179333567,-45.92975699904242
2023,21.554070033115124,41.4442181748074,71.93120401799742
2024,81.30637007043377,-45.375011931154766,-0.9614169809691262
2025,110.23014891535188,61.84133366495021,240.239276770416
2026,77.21399316896506,70.89681464309014,202.85306942758484
